Question,Answer
___ is data about data through which the end-user data are integrated and managed.,Metadata
___ exists when the same data are stored unnecessarily at different places.,Data redundancy
___ exists when it is possible to make changes in the data storage characteristics without affecting an application program’s ability to access data.,Data independence
___ is the result of processing raw data to reveal its meaning.,Information
n) _____ is a specific request issued to the DBMS for data manipulation.,query
___ exists when different and conflicting versions of the same data appear in different places.,Data inconsistency
" reveal meaning, information requires _____.",context
" reveal meaning, information requires _____.",context
n) _____ is a relatively simple representation of more complex real-world data structures.,data model
" _____, a three-pronged symbol represents the “many” side of the relationship.",Crow’s Foot notation
e _____ is the representation of a database as “seen” by the DBMS.,internal model
n) _____ defines the environment in which data can be managed and is used to work with the data in the database.,data manipulation language (DML)
"n) _____ is a brief, precise, and unambiguous description of a policy, procedure, or principle within a specific organization.",business rule
ch column in a relation represents a(n) _____.,attribute
e relational model’s foundation is a mathematical concept known as a(n) _____.,relation
e _____ model is the end users’ view of the data environment.,external
" avoid nulls, some designers use special codes, known as _____, to indicate the absence of some value.",flags
___ relationships cannot be implemented as such in the relational model.,M:N
e _____ relationship is the relational database norm.,1:M
n) _____ index is an index in which the index key can have only one pointer value (row) associated with it.,unique
e proper use of _____ keys is crucial to controlling data redundancy.,foreign
"___ is the real power behind the relational database, allowing the use of independent tables linked by common attributes.",JOIN
primary key is a(n) _____ key chosen to be the primary means by which rows of a table are uniquely identified.,candidate
" one department chair—a professor—can chair only one department, and one department can have only one department chair. The entities PROFESSOR and DEPARTMENT exhibit a(n) _____ relationship.",1:1
weak entity must be _____-dependent.,existence
" Crow’s Foot notation, an optional relationship between entities is shown by drawing a(n) _____ on the side of the optional entity.",small circle (O)
n) _____ attribute need not be physically stored within the database.,derived
n) _____ relationship is also known as an identifying relationship.,strong
e Crow’s Foot notation depicts the strong relationship with a(n) _____ line between the entities.,solid
rticipation is _____ if one entity occurrence does not require a corresponding entity occurrence in a particular relationship.,optional
person’s Social Security number would be an example of a(n) _____ attribute.,single-valued
"en indicating cardinality, the first value represents the _____ number of associated entities.",minimum
"ique values can be better managed when they are _____, because the database can use internal routines to implement a counter-style attribute that automatically increments values with the addition of each new row.",numeric
"om a data modeling point of view, _____ data refer to data whose values change over time and for which one must keep a history of the data changes.",time-variant
e _____ specifies whether each entity supertype occurrence must also be a member of at least one subtype.,completeness constraint
"mposite keys are useful as identifiers of weak entities, where the weak entity has a strong _____ relationship with the parent entity.",identifying
btypes that contain nonunique subsets of the supertype entity set are known as _____ subtypes.,overlapping
"e practical advantage of a(n) _____ key is that because it has no intrinsic meaning, values for it can be generated by the DBMS to ensure that unique values are always provided.",surrogate
"mposite primary keys are particularly useful as identifiers of composite entities, where each primary key combination is allowed _____ in the M:N relationship.",only once
___ completeness means that every supertype occurrence must be a member of at least one subtype.,Total
"cording to the data-modeling checklist, _____ should be nouns that are familiar to business, should be short and meaningful, and should document abbreviations, synonyms, and aliases for each entity.",entity names
normalized tables yield no simple strategies for creating virtual tables known as _____.,views
l relational tables satisfy the _____ requirements.,first normal form
___ is a process to help reduce the likelihood of data anomalies.,Normalization
 becomes difficult to create a suitable _____ key when the related table uses a composite primary key.,foreign
" order to meet _____ requirements, you may have to denormalize some portions of a database design.",performance
"cause a partial dependency can exist only when a table's primary key is composed of several attributes, a table whose _____ key consists of only a single attribute is automatically in 2NF once it is in 1NF.",primary
 attribute that cannot be further subdivided is said to display _____.,atomicity
" the _____, no row may contain two or more multivalued facts about an entity.",4NF (fourth normal form)
dependency based on only a part of a composite primary key is called a(n) _____.,partial dependency
___ refers to the level of detail represented by the values stored in a table's row.,Granularity
e price paid for increased performance through denormalization is a larger amount of _____.,data redundancy
" a real-world environment, changing granularity requirements might dictate changes in primary key selection, and those changes might ultimately require the use of _____ keys.",surrogate
"e combination of _____ and ER modeling yields a useful ERD, whose entities may now be translated into appropriate table structures.",normalization
ws can be grouped into smaller collections quickly and easily using the _____ clause within the SELECT statement.,GROUP BY
" the SQL environment, the word _____ covers both questions and actions.",query
"n) _____, also known as a nested query or an inner query, is a query that is embedded (or nested) inside another query.",subquery
 alias is especially useful when a table must be joined to itself in a(n) _____ query.,recursive
____” means that the names of the relation attributes must be the same and their data types must be alike.,Union-compatible
" SQL, all _____ expressions evaluate to true or false.",conditional
e _____ clause of the GROUP BY statement operates very much like the WHERE clause in the SELECT statement.,HAVING
e _____ specification is used to avoid having duplicated values in a column.,UNIQUE
"e _____ command, coupled with appropriate search conditions, is an incredibly powerful tool that enables a user to transform data into information.",SELECT
n) _____ character is a symbol that can be used as a general substitute for other characters or commands.,wildcard
"n) _____ order sequence is a multilevel ordered sequence that can be created easily by listing several attributes, separated by commas, after the ORDER BY clause.",cascading
" make the SQL code more _____, most SQL programmers use one line per column (attribute) definition.",readable
row-level trigger requires use of the _____ keywords and is executed once for each row affected by the triggering statement.,FOR EACH ROW
___ is the process the DBMS uses to verify that only registered users access the database.,Authentication
"n) _____-length character data type, like VARCHAR, is typically specified with a maximum length.",variable
"S. state abbreviations are always two characters, so _____(2) is a logical choice for the data type representing a state column.",CHAR
___ is the term used to describe an environment in which the SQL statement is not known in advance and is generated at run time.,Dynamic SQL
___ words are words used by SQL to perform specific functions.,Reserved
" a 1:M relationship, a user must always create the table for the ""_____"" side first.",one
" an INSERT command, a user can indicate just the attributes that have required values by listing the _____ inside parentheses after the table name.",names
" the NOT NULL and UNIQUE specifications are not supported when using a command sequence, use _____ without the specifications.",PRIMARY KEY
table can be deleted from the database by using the _____ command.,DROP TABLE
n) _____ view is a view that can be used to update attributes in the base table(s) that are used in the view.,updatable
"n) _____ is a logical group of database objects, such as tables and indexes, that are related to each other.",schema
" delete an index, one must use the _____ command.",DROP INDEX
"common practice is to create a(n) _____ on any field that is used as a search key, in comparison operations in a conditional expression, or when a user wants to list rows in a specific order.",index
" a user adds a new column to a table that already has rows, the existing rows will default to a value of _____ for the new column.",null
"n)  ______ occurs when a transaction executes a query at time T1, and it runs the same query at same time T2, yielding additional rows that satisfy the query.",phantom read
e _____ protocol ensures that transaction logs are always written before any database data is actually updated.,write-ahead-log
"e DBMS uses the information stored in the _____ log for a recovery requirement triggered by a ROLLBACK statement, a program’s abnormal termination, or a system failure such as a network discrepancy or a disk crash.",transaction
" a heavily used database management system (DBMS), the prevention and detection of _____ constitutes an important DBMS function.",deadlocks
e objective of _____ control is to ensure the serializability of transactions in a multiuser database environment.,concurrency
"___ can take place at any of the following levels: database, table, page, row, or field.",Locking
e _____ interleaves the execution of database operations to ensure serializability.,scheduler
